# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 215:         4.437       52.141      -1.20  VOORSCHOTEN
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# TG       = Etmaalgemiddelde temperatuur (in 0.1 graden Celsius); 
# TN       = Minimum temperatuur (in 0.1 graden Celsius); 
# TNH      = Uurvak waarin TN is gemeten; 
# TX       = Maximum temperatuur (in 0.1 graden Celsius); 
# TXH      = Uurvak waarin TX is gemeten; 
# T10N     = Minimum temperatuur op 10 cm hoogte (in 0.1 graden Celsius); 
# SQ       = Zonneschijnduur (in 0.1 uur) berekend uit de globale straling (-1 voor <0.05 uur); 
# Q        = Globale straling (in J/cm2); 
# DR       = Duur van de neerslag (in 0.1 uur); 
# RH       = Etmaalsom van de neerslag (in 0.1 mm) (-1 voor <0.05 mm); 
# PG       = Etmaalgemiddelde luchtdruk herleid tot zeeniveau (in 0.1 hPa) berekend uit 24 uurwaarden; 
# PX       = Hoogste uurwaarde van de luchtdruk herleid tot zeeniveau (in 0.1 hPa); 
# PXH      = Uurvak waarin PX is gemeten; 
# 
STN,YYYYMMDD,   TG,   TN,  TNH,   TX,  TXH, T10N,   SQ,    Q,   DR,   RH,   PG,   PX,  PXH

  215,20141113,   73,   13,    5,  127,   14,  -10,   54,  502,    0,    0,10105,10115,    9
  215,20141114,   96,   65,    2,  117,   15,   57,    3,  218,   49,   61,10053,10095,    1
  215,20141115,   95,   60,   23,  107,   14,   47,    0,   84,  106,  113,10012,10030,    1
  215,20141116,   83,   60,    5,   96,   15,   52,    0,   93,  174,   80,10003,10021,    1
  215,20141117,   94,   73,    5,  118,   14,   67,   19,  319,    0,   -1,10043,10086,   23
  215,20141118,   81,   76,    7,   90,    1,   65,    0,   99,    7,    2,10117,10152,   24
  215,20141119,   82,   63,   24,   91,   12,   55,    0,   86,    0,    0,10214,10263,   24
  215,20141120,   70,   64,    1,   76,   11,   56,    0,  122,    0,    0,10267,10275,   10
  215,20141121,   55,   25,    8,   79,   15,   15,   67,  459,    0,   -1,10217,10256,    1
  215,20141122,   83,   44,    4,  125,   14,   38,   38,  378,    0,   -1,10165,10179,    1
  215,20141123,  109,   82,    8,  140,   13,   72,   28,  330,   53,   46,10155,10178,   24
  215,20141124,   63,    3,   24,  111,   11,  -15,   47,  365,   16,   20,10248,10276,   22
  215,20141125,   39,  -16,    8,   86,   14,  -29,   30,  310,    0,    0,10238,10270,    1
  215,20141126,   50,   30,    5,   62,   24,   23,    2,  196,   11,   11,10137,10182,    1
  215,20141127,   74,   62,    1,   88,   13,   62,    0,  103,   32,   10,10069,10092,    1
  215,20141128,   67,   44,   24,   92,   14,   41,    3,  168,    0,    0,10084,10120,   24
  215,20141129,   31,   13,    6,   57,   13,    4,   63,  386,    0,    0,10142,10158,   20
  215,20141130,   28,   22,    3,   33,   14,   23,    0,   58,   26,   26,10131,10145,    1
  215,20141201,   16,   13,   23,   27,    1,   12,    0,   47,    0,    0,10134,10143,   10
  215,20141202,   14,    5,    6,   25,   24,    4,    0,   62,    0,    0,10164,10207,   23
  215,20141203,   -1,  -28,   23,   27,    8,  -26,    0,   71,    0,   -1,10223,10233,   11
  215,20141204,   -3,  -25,    1,   17,   24,  -25,    0,   70,    0,    0,10176,10208,    1
  215,20141205,   42,   17,    1,   70,   21,   15,    0,  141,   34,   21,10172,10191,   24
  215,20141206,   47,  -19,   22,   93,   13,  -39,   42,  324,    0,   -1,10238,10257,   17
