"","datum","tijd","Roelalleen","Drealleen","samen","cat","datetime","counter"
"1",2015-06-05,"11:26",1,0,0,"roel alleen",2015-06-05 11:26:00,1
"2",2015-06-05,"09:17",1,0,0,"roel alleen",2015-06-05 09:17:00,1
"3",2015-06-04,"16:15",1,0,0,"roel alleen",2015-06-04 16:15:00,1
"4",2015-06-04,"08:15",1,0,0,"roel alleen",2015-06-04 08:15:00,1
"5",2015-06-03,"10:42",1,0,0,"roel alleen",2015-06-03 10:42:00,1
"6",2015-06-02,"17:05",1,0,0,"roel alleen",2015-06-02 17:05:00,1
"7",2015-06-02,"09:22",1,0,0,"roel alleen",2015-06-02 09:22:00,1
"8",2015-06-02,"08:46",1,0,0,"roel alleen",2015-06-02 08:46:00,1
"9",2015-06-01,"09:40",1,0,0,"roel alleen",2015-06-01 09:40:00,1
"10",2015-06-01,"09:08",1,0,0,"roel alleen",2015-06-01 09:08:00,1
"11",2015-05-31,"13:02",1,0,0,"roel alleen",2015-05-31 13:02:00,1
"12",2015-05-31,"12:34",1,0,0,"roel alleen",2015-05-31 12:34:00,1
"13",2015-05-31,"12:20",1,0,0,"roel alleen",2015-05-31 12:20:00,1
"14",2015-05-30,"13:37",1,0,0,"roel alleen",2015-05-30 13:37:00,1
"15",2015-05-30,"11:58",1,0,0,"roel alleen",2015-05-30 11:58:00,1
"16",2015-05-30,"11:17",1,0,0,"roel alleen",2015-05-30 11:17:00,1
"17",2015-05-29,"09:52",1,0,0,"roel alleen",2015-05-29 09:52:00,1
"18",2015-05-28,"11:13",1,0,0,"roel alleen",2015-05-28 11:13:00,1
"19",2015-05-27,"14:40",1,0,0,"roel alleen",2015-05-27 14:40:00,1
"20",2015-05-27,"09:29",1,0,0,"roel alleen",2015-05-27 09:29:00,1
"21",2015-05-27,"08:43",1,0,0,"roel alleen",2015-05-27 08:43:00,1
"22",2015-05-26,"12:27",1,0,0,"roel alleen",2015-05-26 12:27:00,1
"23",2015-05-26,"09:18",1,0,0,"roel alleen",2015-05-26 09:18:00,1
"24",2015-05-25,"10:38",1,0,0,"roel alleen",2015-05-25 10:38:00,1
"25",2015-05-24,"12:04",1,0,0,"roel alleen",2015-05-24 12:04:00,1
"26",2015-05-24,"11:19",1,0,0,"roel alleen",2015-05-24 11:19:00,1
"27",2015-05-24,"09:40",1,0,0,"roel alleen",2015-05-24 09:40:00,1
"28",2015-05-23,"15:45",1,0,0,"roel alleen",2015-05-23 15:45:00,1
"29",2015-05-23,"10:45",1,0,0,"roel alleen",2015-05-23 10:45:00,1
"30",2015-05-22,"13:13",1,0,0,"roel alleen",2015-05-22 13:13:00,1
"31",2015-05-22,"08:55",1,0,0,"roel alleen",2015-05-22 08:55:00,1
"32",2015-05-21,"09:53",1,0,0,"roel alleen",2015-05-21 09:53:00,1
"33",2015-05-21,"09:42",1,0,0,"roel alleen",2015-05-21 09:42:00,1
"34",2015-05-20,"14:00",1,0,0,"roel alleen",2015-05-20 14:00:00,1
"35",2015-05-20,"08:49",1,0,0,"roel alleen",2015-05-20 08:49:00,1
"36",2015-05-19,"08:45",1,0,0,"roel alleen",2015-05-19 08:45:00,1
"37",2015-05-19,"08:34",1,0,0,"roel alleen",2015-05-19 08:34:00,1
"38",2015-05-18,"18:44",1,0,0,"roel alleen",2015-05-18 18:44:00,1
"39",2015-05-18,"13:21",1,0,0,"roel alleen",2015-05-18 13:21:00,1
"40",2015-05-18,"11:06",1,0,0,"roel alleen",2015-05-18 11:06:00,1
"41",2015-05-18,"07:26",1,0,0,"roel alleen",2015-05-18 07:26:00,1
"42",2015-05-18,"06:45",1,0,0,"roel alleen",2015-05-18 06:45:00,1
"43",2015-05-17,"11:51",1,0,0,"roel alleen",2015-05-17 11:51:00,1
"44",2015-05-17,"10:51",1,0,0,"roel alleen",2015-05-17 10:51:00,1
"45",2015-05-16,"12:58",1,0,0,"roel alleen",2015-05-16 12:58:00,1
"46",2015-05-16,"11:43",1,0,0,"roel alleen",2015-05-16 11:43:00,1
"47",2015-05-15,"10:12",1,0,0,"roel alleen",2015-05-15 10:12:00,1
"48",2015-05-14,"10:22",1,0,0,"roel alleen",2015-05-14 10:22:00,1
"49",2015-05-14,"09:22",1,0,0,"roel alleen",2015-05-14 09:22:00,1
"50",2015-05-13,"13:21",1,0,0,"roel alleen",2015-05-13 13:21:00,1
"51",2015-05-13,"11:32",1,0,0,"roel alleen",2015-05-13 11:32:00,1
"52",2015-05-13,"09:33",1,0,0,"roel alleen",2015-05-13 09:33:00,1
"53",2015-05-12,"14:15",1,0,0,"roel alleen",2015-05-12 14:15:00,1
"54",2015-05-12,"09:59",1,0,0,"roel alleen",2015-05-12 09:59:00,1
"55",2015-05-11,"13:18",1,0,0,"roel alleen",2015-05-11 13:18:00,1
"56",2015-05-11,"11:58",1,0,0,"roel alleen",2015-05-11 11:58:00,1
"57",2015-05-11,"07:48",1,0,0,"roel alleen",2015-05-11 07:48:00,1
"58",2015-05-10,"10:19",1,0,0,"roel alleen",2015-05-10 10:19:00,1
"59",2015-05-10,"09:47",1,0,0,"roel alleen",2015-05-10 09:47:00,1
"60",2015-05-09,"14:34",1,0,0,"roel alleen",2015-05-09 14:34:00,1
"61",2015-05-09,"14:06",1,0,0,"roel alleen",2015-05-09 14:06:00,1
"62",2015-05-09,"10:35",1,0,0,"roel alleen",2015-05-09 10:35:00,1
"63",2015-05-09,"09:48",1,0,0,"roel alleen",2015-05-09 09:48:00,1
"64",2015-05-08,"17:12",1,0,0,"roel alleen",2015-05-08 17:12:00,1
"65",2015-05-08,"10:57",1,0,0,"roel alleen",2015-05-08 10:57:00,1
"66",2015-05-07,"08:35",1,0,0,"roel alleen",2015-05-07 08:35:00,1
"67",2015-05-06,"15:28",1,0,0,"roel alleen",2015-05-06 15:28:00,1
"68",2015-05-06,"11:14",1,0,0,"roel alleen",2015-05-06 11:14:00,1
"69",2015-05-06,"08:14",1,0,0,"roel alleen",2015-05-06 08:14:00,1
"70",2015-05-04,"13:00",1,0,0,"roel alleen",2015-05-04 13:00:00,1
"71",2015-05-04,"08:05",1,0,0,"roel alleen",2015-05-04 08:05:00,1
"72",2015-05-02,"10:42",1,0,0,"roel alleen",2015-05-02 10:42:00,1
"73",2015-05-02,"10:15",1,0,0,"roel alleen",2015-05-02 10:15:00,1
"74",2015-04-30,"14:19",1,0,0,"roel alleen",2015-04-30 14:19:00,1
"75",2015-04-28,"13:46",1,0,0,"roel alleen",2015-04-28 13:46:00,1
"76",2015-04-25,"10:33",1,0,0,"roel alleen",2015-04-25 10:33:00,1
"77",2015-04-24,"15:17",1,0,0,"roel alleen",2015-04-24 15:17:00,1
"78",2015-04-24,"13:26",1,0,0,"roel alleen",2015-04-24 13:26:00,1
"79",2015-04-23,"14:37",1,0,0,"roel alleen",2015-04-23 14:37:00,1
"80",2015-04-23,"09:03",1,0,0,"roel alleen",2015-04-23 09:03:00,1
"81",2015-04-22,"13:54",1,0,0,"roel alleen",2015-04-22 13:54:00,1
"82",2015-04-21,"10:11",1,0,0,"roel alleen",2015-04-21 10:11:00,1
"83",2015-04-20,"11:36",1,0,0,"roel alleen",2015-04-20 11:36:00,1
"84",2015-04-20,"11:02",1,0,0,"roel alleen",2015-04-20 11:02:00,1
"85",2015-04-18,"10:33",1,0,0,"roel alleen",2015-04-18 10:33:00,1
"86",2015-04-18,"08:59",1,0,0,"roel alleen",2015-04-18 08:59:00,1
"87",2015-04-17,"15:51",1,0,0,"roel alleen",2015-04-17 15:51:00,1
"88",2015-04-17,"09:26",1,0,0,"roel alleen",2015-04-17 09:26:00,1
"89",2015-04-17,"09:21",1,0,0,"roel alleen",2015-04-17 09:21:00,1
"90",2015-04-16,"15:03",1,0,0,"roel alleen",2015-04-16 15:03:00,1
"91",2015-04-15,"12:56",1,0,0,"roel alleen",2015-04-15 12:56:00,1
"92",2015-04-15,"12:34",1,0,0,"roel alleen",2015-04-15 12:34:00,1
"93",2015-04-15,"09:44",1,0,0,"roel alleen",2015-04-15 09:44:00,1
"94",2015-04-15,"09:34",1,0,0,"roel alleen",2015-04-15 09:34:00,1
"95",2015-04-14,"16:10",1,0,0,"roel alleen",2015-04-14 16:10:00,1
"96",2015-04-14,"09:15",1,0,0,"roel alleen",2015-04-14 09:15:00,1
"97",2015-04-14,"08:48",1,0,0,"roel alleen",2015-04-14 08:48:00,1
"98",2015-04-13,"18:48",1,0,0,"roel alleen",2015-04-13 18:48:00,1
"99",2015-04-13,"13:12",1,0,0,"roel alleen",2015-04-13 13:12:00,1
"100",2015-04-13,"10:04",1,0,0,"roel alleen",2015-04-13 10:04:00,1
"101",2015-04-13,"09:12",1,0,0,"roel alleen",2015-04-13 09:12:00,1
"102",2015-04-12,"10:56",1,0,0,"roel alleen",2015-04-12 10:56:00,1
