datum,tijd,cat,counter,datetime,dag,tijduren,dagdeel,etmaalGemiddeldeTempGradenCelsius,zonneschijnUren,stralingJoulePerVierkanteCm,EtmaalNeerslagMM,gemLuchtdrukHectoPascal,Open,High,Low,Close,Volume,Adjusted Close
2015-06-05,11:26,roel alleen,1,2015-06-05T09:26:00Z,vrijdag,11.4333333333333,ochtend,19.8,8,2121,2.3,1016.9,481.73999,483.029999,477.140015,479.380005,0,479.380005
2015-06-05,09:17,roel alleen,1,2015-06-05T07:17:00Z,vrijdag,9.28333333333333,ochtend,19.8,8,2121,2.3,1016.9,481.73999,483.029999,477.140015,479.380005,0,479.380005
2015-06-04,16:15,roel alleen,1,2015-06-04T14:15:00Z,donderdag,16.25,middag,15.4,15.1,2940,0,1026.1,485.829987,489.399994,478.399994,485.290009,0,485.290009
2015-06-04,08:15,roel alleen,1,2015-06-04T06:15:00Z,donderdag,8.25,ochtend,15.4,15.1,2940,0,1026.1,485.829987,489.399994,478.399994,485.290009,0,485.290009
2015-06-03,10:42,roel alleen,1,2015-06-03T08:42:00Z,woensdag,10.7,ochtend,13.3,10,2418,0,1021.9,487.269989,492.769989,485.440002,487.73999,0,487.73999
2015-06-02,17:05,roel alleen,1,2015-06-02T15:05:00Z,dinsdag,17.0833333333333,middag,14.4,0,376,2,1008.1,493.850006,493.850006,485.589996,486.5,0,486.5
2015-06-02,09:22,roel alleen,1,2015-06-02T07:22:00Z,dinsdag,9.36666666666667,ochtend,14.4,0,376,2,1008.1,493.850006,493.850006,485.589996,486.5,0,486.5
2015-06-02,08:46,roel alleen,1,2015-06-02T06:46:00Z,dinsdag,8.76666666666667,ochtend,14.4,0,376,2,1008.1,493.850006,493.850006,485.589996,486.5,0,486.5
2015-06-01,09:40,roel alleen,1,2015-06-01T07:40:00Z,maandag,9.66666666666667,ochtend,12.6,6.3,2172,-0.1,1014.2,496.880005,498.829987,491.359985,492.25,0,492.25
2015-06-01,09:08,roel alleen,1,2015-06-01T07:08:00Z,maandag,9.13333333333333,ochtend,12.6,6.3,2172,-0.1,1014.2,496.880005,498.829987,491.359985,492.25,0,492.25
2015-05-31,13:02,roel alleen,1,2015-05-31T11:02:00Z,zondag,13.0333333333333,middag,12.5,0.2,713,8.6,1008.9,NA,NA,NA,NA,NA,NA
2015-05-31,12:34,roel alleen,1,2015-05-31T10:34:00Z,zondag,12.5666666666667,middag,12.5,0.2,713,8.6,1008.9,NA,NA,NA,NA,NA,NA
2015-05-31,12:20,roel alleen,1,2015-05-31T10:20:00Z,zondag,12.3333333333333,middag,12.5,0.2,713,8.6,1008.9,NA,NA,NA,NA,NA,NA
2015-05-30,13:37,roel alleen,1,2015-05-30T11:37:00Z,zaterdag,13.6166666666667,middag,11.3,13,2709,0,1013.4,NA,NA,NA,NA,NA,NA
2015-05-30,11:58,roel alleen,1,2015-05-30T09:58:00Z,zaterdag,11.9666666666667,ochtend,11.3,13,2709,0,1013.4,NA,NA,NA,NA,NA,NA
2015-05-30,11:17,roel alleen,1,2015-05-30T09:17:00Z,zaterdag,11.2833333333333,ochtend,11.3,13,2709,0,1013.4,NA,NA,NA,NA,NA,NA
2015-05-29,09:52,roel alleen,1,2015-05-29T07:52:00Z,vrijdag,9.86666666666667,ochtend,11.1,0.6,860,9.5,1008.1,502.5,503.01001,493.48999,493.559998,0,493.559998
2015-05-28,11:13,roel alleen,1,2015-05-28T09:13:00Z,donderdag,11.2166666666667,ochtend,12.6,8.5,1982,-0.1,1013.4,503.059998,504.799988,499.859985,502.23999,0,502.23999
2015-05-27,14:40,roel alleen,1,2015-05-27T12:40:00Z,woensdag,14.6666666666667,middag,12.4,8.3,2436,0,1021.4,496.929993,504.769989,496.679993,503.519989,0,503.519989
2015-05-27,09:29,roel alleen,1,2015-05-27T07:29:00Z,woensdag,9.48333333333333,ochtend,12.4,8.3,2436,0,1021.4,496.929993,504.769989,496.679993,503.519989,0,503.519989
2015-05-27,08:43,roel alleen,1,2015-05-27T06:43:00Z,woensdag,8.71666666666667,ochtend,12.4,8.3,2436,0,1021.4,496.929993,504.769989,496.679993,503.519989,0,503.519989
2015-05-26,12:27,roel alleen,1,2015-05-26T10:27:00Z,dinsdag,12.45,middag,11.5,8.7,2479,-0.1,1022.5,500.089996,502.690002,495,496.350006,0,496.350006
2015-05-26,09:18,roel alleen,1,2015-05-26T07:18:00Z,dinsdag,9.3,ochtend,11.5,8.7,2479,-0.1,1022.5,500.089996,502.690002,495,496.350006,0,496.350006
2015-05-25,10:38,roel alleen,1,2015-05-25T08:38:00Z,maandag,10.6333333333333,ochtend,11.7,5.3,1832,-0.1,1017.4,502.690002,503.049988,498.950012,501.140015,17128100,501.140015
2015-05-24,12:04,roel alleen,1,2015-05-24T10:04:00Z,zondag,12.0666666666667,middag,11.4,12.6,2791,0.6,1019.7,NA,NA,NA,NA,NA,NA
2015-05-24,11:19,roel alleen,1,2015-05-24T09:19:00Z,zondag,11.3166666666667,ochtend,11.4,12.6,2791,0.6,1019.7,NA,NA,NA,NA,NA,NA
2015-05-24,09:40,roel alleen,1,2015-05-24T07:40:00Z,zondag,9.66666666666667,ochtend,11.4,12.6,2791,0.6,1019.7,NA,NA,NA,NA,NA,NA
2015-05-23,15:45,roel alleen,1,2015-05-23T13:45:00Z,zaterdag,15.75,middag,11.7,6.6,1771,0.5,1023.1,NA,NA,NA,NA,NA,NA
2015-05-23,10:45,roel alleen,1,2015-05-23T08:45:00Z,zaterdag,10.75,ochtend,11.7,6.6,1771,0.5,1023.1,NA,NA,NA,NA,NA,NA
2015-05-22,13:13,roel alleen,1,2015-05-22T11:13:00Z,vrijdag,13.2166666666667,middag,13.9,3,1790,0,1024.8,502.100006,503.209991,500.029999,501.890015,0,501.890015
2015-05-22,08:55,roel alleen,1,2015-05-22T06:55:00Z,vrijdag,8.91666666666667,ochtend,13.9,3,1790,0,1024.8,502.100006,503.209991,500.029999,501.890015,0,501.890015
2015-05-21,09:53,roel alleen,1,2015-05-21T07:53:00Z,donderdag,9.88333333333333,ochtend,11.9,14.1,2768,0,1025.2,500.75,502.480011,499.51001,502.049988,0,502.049988
2015-05-21,09:42,roel alleen,1,2015-05-21T07:42:00Z,donderdag,9.7,ochtend,11.9,14.1,2768,0,1025.2,500.75,502.480011,499.51001,502.049988,0,502.049988
2015-05-20,14:00,roel alleen,1,2015-05-20T12:00:00Z,woensdag,14,middag,10.4,12.5,2346,0,1015.2,499.839996,503.019989,498.470001,501.899994,0,501.899994
2015-05-20,08:49,roel alleen,1,2015-05-20T06:49:00Z,woensdag,8.81666666666667,ochtend,10.4,12.5,2346,0,1015.2,499.839996,503.019989,498.470001,501.899994,0,501.899994
2015-05-19,08:45,roel alleen,1,2015-05-19T06:45:00Z,dinsdag,8.75,ochtend,10.4,10.8,1986,3.7,1004.9,493.130005,499.700012,492.940002,499.179993,0,499.179993
2015-05-19,08:34,roel alleen,1,2015-05-19T06:34:00Z,dinsdag,8.56666666666667,ochtend,10.4,10.8,1986,3.7,1004.9,493.130005,499.700012,492.940002,499.179993,0,499.179993
2015-05-18,18:44,roel alleen,1,2015-05-18T16:44:00Z,maandag,18.7333333333333,avond,10.5,1.9,668,9.2,1007.3,491.130005,492.829987,484.23999,490.149994,0,490.149994
