datum,aantal,temp,zon,straling,neerslag,AEXopening,AEXsluiting
2014-11-13,2,7.3,5.4,502,0,412.769989,411.410004
2014-11-14,3,9.6,0.3,218,6.1,412.559998,411.970001
2014-11-15,1,9.5,0,84,11.3,NaN,NaN
2014-11-17,3,9.4,1.9,319,-0.1,408.829987,414.070007
2014-11-18,2,8.1,0,99,0.2,414.390015,417.160004
2014-11-19,3,8.2,0,86,0,416.980011,417.790009
2014-11-20,3,7,0,122,0,417.98999,416.809998
2014-11-21,3,5.5,6.7,459,-0.1,417.890015,423.459991
2014-11-22,3,8.3,3.8,378,-0.1,NaN,NaN
2014-11-23,2,10.9,2.8,330,4.6,NaN,NaN
2014-11-24,4,6.3,4.7,365,2,423.609985,422.910004
2014-11-25,3,3.9,3,310,0,423.130005,423.179993
2014-11-26,4,5,0.2,196,1.1,424.019989,423.970001
2014-11-27,3,7.4,0,103,1,425.089996,425.75
2014-11-28,3,6.7,0.3,168,0,425.559998,425.859985
2014-11-29,2,3.1,6.3,386,0,NaN,NaN
2014-11-30,3,2.8,0,58,2.6,NaN,NaN
2014-12-01,4,1.6,0,47,0,422.820007,423.470001
2014-12-02,2,1.4,0,62,0,424.859985,428.480011
2014-12-03,4,-0.1,0,71,-0.1,428.529999,428.609985
2014-12-04,2,-0.3,0,70,0,430.25,423.679993
2014-12-05,4,4.2,0,141,2.1,426.730011,431.059998
2014-12-06,5,4.7,4.2,324,-0.1,NaN,NaN
2014-12-07,3,5.1,0,74,4.8,NaN,NaN
2014-12-08,2,5.4,1.7,139,6.3,429.649994,427.269989
2014-12-09,4,4.3,1.9,257,0.4,423.309998,418.429993
2014-12-10,6,7.7,6,365,6.9,419.309998,416.709991
2014-12-11,1,7.7,1,134,6.8,415.350006,416.769989
2014-12-12,2,7.7,0,52,15.2,413.660004,406.170013
2014-12-16,2,6.1,2,196,0.7,397.660004,403.790009
2014-12-17,4,8.7,0,61,3.5,399.160004,403.459991
2014-12-18,4,11.7,0.2,127,1.1,410.089996,416.440002
2014-12-19,3,9.4,2.6,208,8.5,420.660004,418.369995
2014-12-20,4,8,0,122,3.7,NaN,NaN
2014-12-21,3,8.8,0,126,0,NaN,NaN
2014-12-22,3,11.6,0,67,0.9,419.76001,421.579987
2014-12-23,5,11.1,5.4,361,0,423.040009,426.769989
2014-12-24,2,8.6,0.3,109,6.3,425.970001,425.570007
2014-12-25,5,5.6,1.4,135,5,NaN,NaN
2014-12-26,5,3.6,1.4,217,0.2,NaN,NaN
2014-12-27,3,1.1,0,42,19.2,NaN,NaN
2014-12-28,4,0.3,6.5,365,0.1,NaN,NaN
2014-12-29,3,5.2,1.7,198,1.3,427.390015,426.890015
2014-12-30,3,6.1,0.7,146,-0.1,425.130005,421.589996
2014-12-31,5,5.6,4.8,308,0,422.839996,424.470001
2015-01-01,3,3.8,1.4,187,0.3,NaN,NaN
2015-01-02,2,7.8,4.5,319,2.1,425.890015,422.279999
2015-01-03,1,5.2,0,72,2.9,NaN,NaN
2015-01-04,4,4.1,4.1,302,0.3,NaN,NaN
2015-01-05,4,3.3,0.2,117,0,420.059998,410.940002
2015-01-06,3,3.4,1.2,230,1,411.670013,408.429993
